"elapsed_s","pid","responding","working_set_bytes","private_bytes","cpu_seconds"
"0,11","24252","True","613302272","868093952","103,515625"
"5,17","24252","True","614379520","869023744","125,015625"
"10,17","24252","True","615903232","870625280","148,3125"
"18,67","24252","True","616923136","870879232","188,390625"
"23,68","24252","True","617684992","872775680","210,625"
"32,16","24252","True","619560960","872910848","252,40625"
"37,17","24252","True","619642880","872996864","276,5"
"45,65","24252","True","620167168","873472000","314,453125"
"50,66","24252","True","621416448","874835968","338,765625"
"59,15","24252","True","622465024","875913216","378,25"
"64,17","24252","True","623038464","876539904","402,1875"
"72,66","24252","True","623222784","876539904","443,5"
"77,68","24252","True","623120384","876417024","464,1875"
